weapon,gender,n,r_squared,seed_coef,seed_pvalue
epee,M,1195,0.495832476683289,0.7037343495684945,1.2629916456065331e-179
epee,F,708,0.4837263108632678,0.6980328968381684,1.9101577454597284e-103
foil,M,924,0.5602407738624346,0.7502978444890469,1.1668035826522893e-166
foil,F,561,0.5681018060198229,0.7608177044242942,5.487041248181006e-104
saber,M,795,0.5207025161925324,0.7218462147336215,8.980735723302558e-129
saber,F,608,0.4974343749517004,0.7055109694239334,1.326937049285808e-92
